Customer ID,Order Date,Order Amount,Product Category,Signup Date,Last Active Date
CUST_0337,2024-03-26,258.78,Sweets,2023-10-26,2024-09-07
CUST_0791,2023-07-06,469.06,Wines,2023-04-14,2024-08-26
CUST_0666,2024-02-21,223.95,Gold,2023-11-13,2024-03-19
CUST_0266,2024-01-15,113.58,Wines,2023-11-27,2024-08-13
CUST_0943,2024-01-07,278.75,Fish,2023-12-28,2024-08-22
CUST_0802,2024-02-13,356.16,Fish,2023-01-29,2024-04-24
CUST_0120,2024-06-14,499.47,Fish,2024-06-13,2024-07-14
CUST_0573,2023-09-19,275.82,Fish,2023-06-08,2024-09-13
CUST_0099,2024-03-10,455.13,Fish,2023-07-11,2024-11-11
CUST_0750,2024-06-06,233.42,Gold,2024-05-31,2024-06-28
CUST_0078,2024-08-16,452.67,Gold,2024-05-01,2024-10-15
CUST_0845,2024-09-26,315.53,Fruits,2024-05-13,2024-09-28
CUST_0561,2023-10-13,435.87,Gold,2023-05-03,2023-10-22
CUST_0330,2024-11-18,439.97,Sweets,2023-12-27,2024-11-21
CUST_0465,2024-08-02,397.8,Sweets,2023-06-06,2024-09-20
CUST_0020,2024-01-10,306.77,Fruits,2023-10-18,2024-04-03
CUST_0540,2023-10-20,137.19,Wines,2023-08-23,2024-01-12
CUST_0779,2024-08-29,416.4,Meat,2024-06-22,2024-10-08
CUST_0711,2023-12-19,391.6,Gold,2023-11-27,2024-02-01
CUST_0216,2023-08-11,31.55,Gold,2023-06-26,2023-08-19
CUST_0149,2024-04-14,164.21,Fish,2023-03-08,2024-05-19
CUST_0818,2023-10-06,400.51,Fruits,2023-08-12,2023-10-27
CUST_0604,2024-07-06,460.12,Fish,2024-03-09,2024-08-18
CUST_0928,2023-04-09,438.62,Fruits,2023-04-06,2024-06-01
CUST_0627,2024-06-08,289.48,Wines,2023-12-30,2024-10-02
CUST_0332,2023-10-18,85.12,Wines,2023-09-19,2023-11-15
CUST_0653,2023-05-12,24.57,Fruits,2023-03-26,2023-12-21
CUST_0888,2024-06-02,170.62,Wines,2024-05-30,2024-06-18
CUST_0548,2024-05-07,205.28,Fish,2023-09-14,2024-10-12
CUST_0973,2024-01-15,288.76,Meat,2023-01-28,2024-09-01
CUST_0274,2023-10-10,38.79,Gold,2023-09-26,2024-05-17
CUST_0432,2024-05-18,161.31,Wines,2024-03-30,2024-07-11
CUST_0219,2024-03-16,454.81,Wines,2023-06-08,2024-09-26
CUST_0536,2024-02-27,-226.04,Wines,2024-02-10,2024-06-28
CUST_0352,2024-03-05,494.86,Wines,2024-01-08,2024-08-11
CUST_0856,2024-02-25,192.9,Wines,2024-02-11,2024-06-05
CUST_0830,2024-01-12,165.61,Gold,2023-12-16,2024-07-18
CUST_0188,2024-06-27,113.31,Fruits,2024-03-04,2024-07-10
CUST_0101,2024-07-02,311.59,Wines,2024-03-31,2024-09-15
CUST_0376,2023-11-24,26.73,Wines,2023-08-17,2023-12-10
CUST_0757,2023-05-04,498.68,Fish,2023-01-12,2024-08-03
CUST_0659,2023-11-21,314.2,Wines,2023-04-25,2024-03-13
CUST_0808,2024-06-23,131.3,Meat,2024-05-23,2024-07-04
CUST_0138,2023-05-11,152.91,Fruits,2023-01-16,2023-07-22
CUST_0803,2024-07-26,465.09,Wines,2024-03-23,2024-08-16
CUST_0235,2023-08-03,14.74,Wines,2023-03-27,2023-12-22
CUST_0563,2024-03-20,139.41,Meat,2024-02-10,2024-06-08
CUST_0086,2023-07-19,338.69,Gold,2023-03-30,2023-10-22
CUST_0500,2023-11-26,110.63,Meat,2023-07-29,2024-04-27
CUST_0549,2024-07-02,140.55,Fish,2024-06-27,2024-07-05
CUST_0483,2023-08-16,227.32,Wines,2023-01-20,2024-03-09
CUST_0640,2024-04-22,491.13,Gold,2024-03-10,2024-05-16
CUST_0273,2023-12-19,343.42,Meat,2023-12-16,2024-01-02
CUST_0993,2024-04-17,23.64,Sweets,2024-04-01,2024-06-05
CUST_0941,2023-12-02,476.52,Fish,2023-09-06,2024-04-19
CUST_0624,2023-08-25,136.34,Sweets,2023-04-26,2023-11-12
CUST_0989,2024-01-25,161.4,Meat,2024-01-16,2024-01-30
CUST_0490,2024-11-07,239.58,Fish,2024-06-28,2024-11-09
CUST_0414,2023-11-10,274.35,Fish,2023-09-23,2023-11-19
CUST_0872,2024-07-10,417.84,Fish,2023-02-26,2024-09-17
CUST_0838,2023-09-01,-417.74,Sweets,2023-05-11,2023-11-08
CUST_0438,2024-05-11,295.99,Meat,2024-04-12,2024-05-27
